candidate,stage,days,active_sharpe,skew,kurtosis,luck_threshold_n36,psr,dsr_n10,dsr_n36
exp1 B seed 0,holdout 2022-26,1183,0.6321104571730155,13.120839917512077,285.260804575982,0.9915877762356039,0.9626212954713106,0.394493938223807,0.15543841437176265
exp1 B seed 1,holdout 2022-26,1183,-0.6578545632876324,-3.1584375224109147,104.2648403482414,0.9915877762356039,0.0680172267013052,0.0008498501826382551,9.285721294313536e-05
exp1 B seed 2,holdout 2022-26,1183,0.02213939871342673,0.3258739743528415,36.259591825419314,0.9915877762356039,0.5191255038007228,0.06338251728700302,0.017862538806078316
exp1 B seed 3,holdout 2022-26,1183,0.3309341652728684,11.994130871109634,316.80472195085173,0.9915877762356039,0.7908326520676593,0.1663459029785658,0.0530842612447265
exp1 B seed 4,holdout 2022-26,1183,-0.8794526151045609,-0.4347762915597156,25.47964299792781,0.9915877762356039,0.028082957255199995,0.00024283621433694123,2.4223477291071766e-05
exp2 V1,dev,3777,0.21567882689721574,-0.3856587924227907,53.6967409398584,0.5547839774303166,0.7972092401279434,0.23059198220333008,0.09549649501210376
exp2 V2,dev,3777,0.3464498341989056,-0.4870942515543763,47.74557724855231,0.5547839774303166,0.9082991524894546,0.4084066503685801,0.21185684249416986
exp2 V1,final-us2000,1403,0.1205898032818983,-0.33607994561474236,6.658952342424651,0.9104705355944236,0.6118185230786986,0.09879185581887363,0.031397047325044634
exp2 V2,final-us2000,1403,0.1040821602747757,-0.2988934446354922,6.573967973567843,0.9104705355944236,0.5968692033819379,0.092128864123872,0.028709015817614328
exp2 V1,final-intl,5612,-0.09114483477581872,-0.7594819428447934,76.9786935677599,0.4551135525592276,0.33327491498759343,0.022298561058856192,0.004905205162254289
exp2 V2,final-intl,5612,-0.01779971029573527,-1.081153350426431,83.0589840704359,0.4551135525592276,0.46651196457154737,0.048500078370008,0.012779486219246764
exp3 L2,dev,3777,-0.04229541398110739,-0.23478003691819258,34.32272750895007,0.5547839774303166,0.4349564489141088,0.041033782807237594,0.010391335322682266
exp3 L2,final-sectors,6719,-0.28804016997891646,-0.5320488511872735,33.84064103232622,0.41592967133078196,0.06779617682069697,0.0010613446585116004,0.00013243195188178517
exp3 L2,final-countries,6363,0.022129035676879894,0.2183841510760746,31.757793678350403,0.42740841674911584,0.5442728635984362,0.07164864614714211,0.020843142757809584
